GO:0043535	NCBITaxon:10116;NCBITaxon:10090;NCBITaxon:9913;NCBITaxon:9606;NCBITaxon:7955;
GO:0034232	NCBITaxon:284812;
GO:0030336	NCBITaxon:10090;NCBITaxon:44689;NCBITaxon:6945;NCBITaxon:6239;NCBITaxon:9606;NCBITaxon:9031;NCBITaxon:10116;NCBITaxon:9823;NCBITaxon:7955;NCBITaxon:208964;NCBITaxon:7227;
GO:0097576	NCBITaxon:10090;NCBITaxon:284812;NCBITaxon:9606;NCBITaxon:227321;NCBITaxon:7955;NCBITaxon:7227;NCBITaxon:559292;
GO:0045082	NCBITaxon:10090;NCBITaxon:9606;
GO:0016661	NCBITaxon:224308;NCBITaxon:9606;NCBITaxon:227321;NCBITaxon:559292;NCBITaxon:83333;NCBITaxon:211586;NCBITaxon:7955;NCBITaxon:3702;NCBITaxon:1111708;
GO:0036228	NCBITaxon:7227;NCBITaxon:559292;
GO:0035102	NCBITaxon:10090;NCBITaxon:9606;NCBITaxon:7227;NCBITaxon:3702;
GO:0046543	NCBITaxon:10116;NCBITaxon:10090;NCBITaxon:9544;
GO:0046498	NCBITaxon:10090;NCBITaxon:10116;NCBITaxon:83333;NCBITaxon:7955;NCBITaxon:7227;NCBITaxon:559292;
GO:0045747	NCBITaxon:10116;NCBITaxon:10090;NCBITaxon:6239;NCBITaxon:9606;NCBITaxon:7955;NCBITaxon:7227;
GO:0034314	NCBITaxon:10090;NCBITaxon:284812;NCBITaxon:6239;NCBITaxon:9606;NCBITaxon:7227;NCBITaxon:559292;
GO:0034038	NCBITaxon:10116;NCBITaxon:9606;NCBITaxon:559292;
GO:0000493	NCBITaxon:559292;
GO:0004818	NCBITaxon:83333;NCBITaxon:36329;NCBITaxon:9606;NCBITaxon:559292;
GO:0045098	NCBITaxon:10090;NCBITaxon:10116;NCBITaxon:9606;NCBITaxon:7955;
GO:0033003	NCBITaxon:10090;NCBITaxon:10116;NCBITaxon:9606;
GO:0030570	NCBITaxon:227321;
GO:0006265	NCBITaxon:10090;NCBITaxon:185431;NCBITaxon:83332;NCBITaxon:6239;NCBITaxon:9606;NCBITaxon:227321;NCBITaxon:559292;NCBITaxon:10116;NCBITaxon:83333;NCBITaxon:36329;NCBITaxon:9823;NCBITaxon:284812;NCBITaxon:9913;NCBITaxon:7227;NCBITaxon:208964;
GO:0034365	NCBITaxon:10090;NCBITaxon:10116;NCBITaxon:9606;
GO:0006151	NCBITaxon:284812;
GO:0006122	NCBITaxon:10090;NCBITaxon:6239;NCBITaxon:9606;NCBITaxon:559292;NCBITaxon:9823;NCBITaxon:237561;NCBITaxon:284812;NCBITaxon:9913;
GO:0010381	NCBITaxon:3702;
GO:0035370	NCBITaxon:9606;NCBITaxon:7955;NCBITaxon:7227;
GO:0033082	NCBITaxon:10090;
GO:0051935	NCBITaxon:10090;
GO:0036090	NCBITaxon:44689;NCBITaxon:6239;NCBITaxon:9606;NCBITaxon:7227;
GO:0006612	NCBITaxon:10090;NCBITaxon:6239;NCBITaxon:9606;NCBITaxon:559292;NCBITaxon:10116;NCBITaxon:83333;NCBITaxon:9615;NCBITaxon:284812;NCBITaxon:9913;NCBITaxon:7955;NCBITaxon:3702;NCBITaxon:7227;
GO:0080005	NCBITaxon:3702;
GO:1990516	NCBITaxon:284812;
GO:0006569	NCBITaxon:10090;NCBITaxon:6239;NCBITaxon:9606;NCBITaxon:559292;NCBITaxon:10116;NCBITaxon:83333;NCBITaxon:190485;NCBITaxon:3702;NCBITaxon:208964;
GO:0050897	NCBITaxon:224308;NCBITaxon:83332;NCBITaxon:9606;NCBITaxon:99287;NCBITaxon:10116;NCBITaxon:83333;NCBITaxon:243274;NCBITaxon:93061;NCBITaxon:3702;
GO:1902806	NCBITaxon:10090;NCBITaxon:6239;NCBITaxon:9606;NCBITaxon:559292;NCBITaxon:9031;NCBITaxon:10116;NCBITaxon:284812;NCBITaxon:7955;NCBITaxon:3702;NCBITaxon:7227;
GO:0031644	NCBITaxon:10090;NCBITaxon:6239;NCBITaxon:9606;NCBITaxon:10116;NCBITaxon:9031;NCBITaxon:9913;NCBITaxon:7955;NCBITaxon:7227;
GO:0050733	NCBITaxon:10090;
GO:0035605	NCBITaxon:10116;
GO:1904959	NCBITaxon:10116;NCBITaxon:3702;
GO:2001212	NCBITaxon:10090;NCBITaxon:9606;NCBITaxon:7955;
GO:0007156	NCBITaxon:9031;NCBITaxon:10116;NCBITaxon:10090;NCBITaxon:44689;NCBITaxon:9606;NCBITaxon:7955;NCBITaxon:7227;
GO:0034186	NCBITaxon:9606;
GO:0019566	NCBITaxon:83333;NCBITaxon:273057;NCBITaxon:227321;NCBITaxon:3702;NCBITaxon:559292;
GO:0006970	NCBITaxon:224308;NCBITaxon:10090;NCBITaxon:44689;NCBITaxon:6239;NCBITaxon:9606;NCBITaxon:559292;NCBITaxon:4081;NCBITaxon:83333;NCBITaxon:9615;NCBITaxon:9913;NCBITaxon:7955;NCBITaxon:7227;NCBITaxon:227321;NCBITaxon:99287;NCBITaxon:39947;NCBITaxon:441771;NCBITaxon:10116;NCBITaxon:9823;NCBITaxon:237561;NCBITaxon:284812;NCBITaxon:208964;NCBITaxon:3702;
GO:0009113	NCBITaxon:10090;NCBITaxon:83333;NCBITaxon:237561;NCBITaxon:284812;NCBITaxon:9606;NCBITaxon:559292;
GO:0070265	NCBITaxon:10116;NCBITaxon:10090;NCBITaxon:44689;NCBITaxon:6239;NCBITaxon:9606;
GO:0015706	NCBITaxon:10116;NCBITaxon:83333;NCBITaxon:224308;NCBITaxon:227321;NCBITaxon:39947;NCBITaxon:3702;
GO:0031531	NCBITaxon:9606;
GO:0097451	NCBITaxon:10090;NCBITaxon:10116;
GO:0090579	NCBITaxon:559292;
GO:0097637	NCBITaxon:9606;
GO:0071544	NCBITaxon:9606;
GO:0007229	NCBITaxon:10090;NCBITaxon:10116;NCBITaxon:9823;NCBITaxon:6239;NCBITaxon:9606;NCBITaxon:7227;
GO:0060054	NCBITaxon:10090;NCBITaxon:9606;
GO:0090375	NCBITaxon:284812;
GO:0034203	NCBITaxon:83333;NCBITaxon:559292;NCBITaxon:208964;
GO:0031702	NCBITaxon:10090;NCBITaxon:10116;NCBITaxon:9606;
GO:0048795	NCBITaxon:7955;
GO:0071820	NCBITaxon:10090;NCBITaxon:10116;
GO:0070509	NCBITaxon:10090;NCBITaxon:44689;NCBITaxon:6239;NCBITaxon:9606;NCBITaxon:10116;NCBITaxon:9031;NCBITaxon:9823;NCBITaxon:284812;NCBITaxon:9913;NCBITaxon:7955;NCBITaxon:3702;
GO:0048643	NCBITaxon:10116;NCBITaxon:10090;NCBITaxon:9606;NCBITaxon:7955;
GO:0009044	NCBITaxon:227321;NCBITaxon:3702;
GO:2000038	NCBITaxon:3702;
GO:0001097	NCBITaxon:559292;NCBITaxon:7227;
GO:0043181	NCBITaxon:9606;
GO:0005960	NCBITaxon:10116;NCBITaxon:559292;
GO:0004106	NCBITaxon:224308;NCBITaxon:83332;NCBITaxon:632;NCBITaxon:227321;NCBITaxon:559292;NCBITaxon:83333;NCBITaxon:3702;NCBITaxon:208964;
GO:0035695	NCBITaxon:9606;
GO:1990429	NCBITaxon:559292;
GO:0003697	NCBITaxon:10090;NCBITaxon:83332;NCBITaxon:6239;NCBITaxon:9606;NCBITaxon:559292;NCBITaxon:83333;NCBITaxon:9913;NCBITaxon:7955;NCBITaxon:7227;NCBITaxon:243230;NCBITaxon:39947;NCBITaxon:9031;NCBITaxon:10116;NCBITaxon:36329;NCBITaxon:9823;NCBITaxon:284812;NCBITaxon:3702;
GO:0009979	NCBITaxon:3702;
GO:0033580	NCBITaxon:10090;NCBITaxon:10116;
GO:0080082	NCBITaxon:3702;
GO:0070143	NCBITaxon:9606;
GO:0047288	NCBITaxon:10116;
GO:1901546	NCBITaxon:7955;
GO:1904357	NCBITaxon:10090;NCBITaxon:284812;NCBITaxon:6239;NCBITaxon:9606;NCBITaxon:559292;NCBITaxon:3702;
GO:0033262	NCBITaxon:10090;NCBITaxon:10116;NCBITaxon:284812;NCBITaxon:9606;NCBITaxon:559292;
GO:0080187	NCBITaxon:3702;
GO:2000249	NCBITaxon:10090;NCBITaxon:10116;NCBITaxon:44689;NCBITaxon:6239;NCBITaxon:9606;NCBITaxon:559292;
GO:0003962	NCBITaxon:83333;NCBITaxon:83332;NCBITaxon:227321;NCBITaxon:559292;
