Constraints,Number,GOterms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gain|NCBITaxon:1(root);;NCBITaxon:4896(Schizosaccharomyces pombe);>Loss|NCBITaxon:6072(Eumetazoa);NCBITaxon:33090(Viridiplantae);NCBITaxon:451864(Dikarya);,1,GO:0000748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gain|NCBITaxon:2(Bacteria);NCBITaxon:33090(Viridiplantae);NCBITaxon:4751(Fungi);NCBITaxon:2157(Archaea);,1,GO:0042546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gain|NCBITaxon:2(Bacteria);NCBITaxon:451864(Dikarya);,1,GO:0000747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gain|NCBITaxon:2157(Archaea);NCBITaxon:2(Bacteria);,1,GO:0030313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gain|NCBITaxon:2157(Archaea);NCBITaxon:2(Bacteria);NCBITaxon:4751(Fungi);NCBITaxon:33090(Viridiplantae);,1,GO:0005618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gain|NCBITaxon:3193(Embryophyta);NCBITaxon:6072(Eumetazoa);,1,GO:0002376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gain|NCBITaxon:32523(Tetrapoda),1,GO:0021761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gain|NCBITaxon:33090(Viridiplantae);NCBITaxon:5794(Apicomplexa);,1,GO:0009536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gain|NCBITaxon:33154(Opisthokonta);,1,GO:0043293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gain|NCBITaxon:33154(Opisthokonta);NCBITaxon:3193(Embryophyta);,1,GO:0006915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gain|NCBITaxon:6072(Eumetazoa);>Loss|NCBITaxon:32524(Amniota);,1,GO:0030536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gain|NCBITaxon:7742(Vertebrata <Metazoa>);NCBITaxon:6656(Arthropoda);,1,GO:0030097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gain|NCBITaxon:91347(Enterobacterales);,1,GO:0046378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
